,RK,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,Detroit Tigers,AL,161,5605,689,1515,289,49,151,660,455,1259,83,51,.270,.328,.420,.748,36,41,23,35,2355,489,152,1584,1460,1.08,23702,6159
1,2,Toronto Blue Jays,AL,162,5509,891,1480,308,17,232,852,570,1151,88,23,.269,.340,.457,.797,12,54,36,62,2518,557,140,1724,1395,1.24,24051,6231
2,3,Kansas City Royals,AL,162,5575,724,1497,300,42,139,689,383,973,104,34,.269,.322,.412,.734,28,77,34,47,2298,481,133,1759,1560,1.13,22705,6116
3,4,Boston Red Sox,AL,162,5640,748,1495,294,33,161,706,478,1148,71,27,.265,.325,.415,.740,28,46,30,42,2338,488,127,1756,1440,1.22,24709,6237
4,5,Texas Rangers,AL,162,5511,751,1419,279,32,172,707,503,1233,101,39,.257,.325,.413,.739,32,76,43,54,2278,483,99,1648,1407,1.17,23738,6187
5,6,Cleveland Indians,AL,161,5439,669,1395,303,29,141,640,533,1157,86,28,.256,.325,.401,.725,34,39,47,50,2179,473,134,1675,1443,1.16,23795,6109
6,7,Tampa Bay Rays,AL,162,5485,644,1383,278,32,167,612,436,1310,87,45,.252,.314,.406,.720,22,84,19,47,2226,477,121,1510,1469,1.03,23210,6071
7,8,New York Yankees,AL,162,5567,764,1397,272,19,212,737,554,1227,63,25,.251,.323,.421,.744,23,63,24,54,2343,503,105,1558,1568,0.99,24523,6268
8,9,Oakland Athletics,AL,162,5600,694,1405,277,46,146,661,475,1119,78,29,.251,.312,.395,.707,21,40,14,38,2212,469,124,1704,1548,1.10,23808,6171
9,10,Baltimore Orioles,AL,162,5485,713,1370,246,20,217,686,418,1331,44,25,.250,.307,.421,.728,23,51,20,32,2307,483,127,1561,1402,1.11,22911,6007
10,11,Houston Astros,AL,162,5459,729,1363,278,26,230,691,486,1392,121,48,.250,.315,.437,.752,22,56,28,43,2383,534,102,1439,1438,1.00,23543,6073
11,12,Chicago White Sox,AL,162,5533,622,1381,260,27,136,595,404,1231,68,42,.250,.306,.380,.686,22,65,30,37,2103,423,125,1807,1306,1.38,23140,6070
12,13,Seattle Mariners,AL,162,5544,656,1379,262,22,198,624,478,1336,69,45,.249,.311,.411,.722,31,36,38,35,2279,482,123,1607,1418,1.13,23814,6131
13,14,Minnesota Twins,AL,162,5467,696,1349,277,44,156,661,439,1264,70,38,.247,.305,.399,.704,31,40,30,41,2182,477,133,1634,1424,1.15,23100,6017
14,15,Los Angeles Angels,AL,162,5417,661,1331,243,21,176,621,435,1150,52,34,.246,.307,.396,.702,34,58,37,40,2144,440,116,1676,1453,1.15,22727,5990
