,RK,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,San Francisco Giants,NL,162,5565,696,1486,288,39,136,663,457,1159,93,36,.267,.326,.406,.732,30,49,45,37,2260,463,142,1830,1314,1.39,23191,6153
1,2,Colorado Rockies,NL,162,5572,737,1479,274,49,186,702,388,1283,97,43,.265,.315,.432,.748,47,33,44,34,2409,509,114,1628,1374,1.18,22661,6071
2,3,Arizona Diamondbacks,NL,162,5649,720,1494,289,48,154,680,490,1312,132,44,.264,.324,.414,.738,40,33,46,57,2341,491,134,1759,1321,1.33,23332,6276
3,4,Miami Marlins,NL,162,5463,613,1420,236,40,120,575,375,1150,112,45,.260,.310,.384,.694,30,39,71,40,2096,396,133,1921,1216,1.58,22254,5988
4,5,Pittsburgh Pirates,NL,162,5631,697,1462,292,27,140,661,461,1322,98,45,.260,.323,.396,.719,46,89,63,41,2228,459,115,1739,1327,1.31,23889,6285
5,6,St. Louis Cardinals,NL,162,5484,647,1386,288,39,137,619,506,1267,69,38,.253,.321,.394,.716,47,66,39,42,2163,464,128,1677,1363,1.23,23494,6139
6,7,Milwaukee Brewers,NL,162,5480,655,1378,274,34,145,624,412,1299,84,29,.251,.307,.393,.700,35,41,55,34,2155,453,130,1730,1292,1.34,22558,6024
7,8,Atlanta Braves,NL,162,5420,573,1361,251,18,100,548,471,1107,69,33,.251,.314,.359,.674,39,44,67,31,1948,369,148,1902,1296,1.47,22644,6034
8,9,Washington Nationals,NL,162,5428,703,1363,265,13,177,665,539,1344,57,23,.251,.321,.403,.724,38,44,55,51,2185,455,129,1704,1252,1.36,23247,6117
9,10,Los Angeles Dodgers,NL,162,5385,667,1346,263,26,187,638,563,1258,59,34,.250,.326,.413,.739,31,60,49,30,2222,476,135,1630,1365,1.19,23602,6090
10,11,Philadelphia Phillies,NL,162,5529,626,1374,272,37,130,586,387,1274,88,32,.249,.303,.382,.684,20,54,53,29,2110,439,119,1693,1389,1.22,22644,6053
11,12,Cincinnati Reds,NL,162,5571,640,1382,257,27,167,613,496,1255,134,38,.248,.312,.394,.706,38,42,47,40,2194,451,112,1640,1493,1.10,23533,6196
12,13,New York Mets,NL,162,5527,683,1351,295,17,177,654,488,1290,51,25,.244,.312,.400,.712,42,68,29,32,2211,489,130,1540,1537,1.00,23931,6145
13,14,Chicago Cubs,NL,162,5491,689,1341,272,30,171,657,567,1518,95,37,.244,.321,.398,.719,47,74,32,35,2186,473,101,1462,1338,1.09,24646,6200
14,15,San Diego Padres,NL,162,5457,650,1324,260,36,148,623,426,1327,82,29,.243,.300,.385,.685,22,40,52,42,2100,444,108,1597,1411,1.13,23200,6019
