,RK,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,Colorado Rockies,NL,-,659,120,205,39,7,32,116,51,123,8,7,.311,.360,.537,.897,1,2,4,5,354,78,19,194,165,1.18,2752,721
1,2,Arizona Diamondbacks,NL,-,640,84,183,36,5,16,80,59,128,25,11,.286,.347,.433,.780,1,4,0,5,277,57,16,189,161,1.17,2659,708
2,3,Miami Marlins,NL,-,641,88,178,29,2,18,83,38,134,28,10,.278,.321,.413,.734,1,5,0,5,265,49,13,207,140,1.48,2611,689
3,4,Milwaukee Brewers,NL,-,638,102,177,30,7,27,97,51,141,20,8,.277,.330,.473,.803,0,0,4,2,302,64,16,210,132,1.59,2727,695
4,5,San Francisco Giants,NL,-,629,72,171,25,5,15,69,36,124,15,3,.272,.314,.399,.713,0,7,1,9,251,45,16,193,167,1.16,2614,682
5,6,Cincinnati Reds,NL,-,635,96,172,40,4,25,95,62,133,21,6,.271,.340,.465,.804,1,7,0,5,295,69,12,176,171,1.03,2798,709
6,7,Washington Nationals,NL,-,633,89,171,38,1,24,85,59,151,5,3,.270,.333,.447,.780,3,3,3,5,283,63,16,186,149,1.25,2807,703
7,8,Atlanta Braves,NL,-,611,75,164,37,0,12,73,56,101,11,8,.268,.335,.388,.723,0,9,2,8,237,49,20,215,161,1.34,2599,686
8,9,Pittsburgh Pirates,NL,-,634,86,168,34,4,14,80,47,138,19,10,.265,.329,.397,.726,0,15,3,4,252,52,6,173,168,1.03,2732,703
9,10,St. Louis Cardinals,NL,-,616,80,159,40,6,13,75,59,137,7,6,.258,.329,.406,.735,0,9,0,5,250,59,18,177,166,1.07,2714,689
10,11,Los Angeles Dodgers,NL,-,605,72,154,34,6,25,69,52,159,11,8,.255,.323,.455,.778,1,13,1,7,275,65,18,169,149,1.13,2677,678
11,12,New York Mets,NL,-,629,74,156,36,1,24,70,51,150,3,5,.248,.311,.423,.734,0,7,1,1,266,61,10,146,189,0.77,2750,689
12,13,San Diego Padres,NL,-,612,86,151,25,3,21,85,53,142,11,5,.247,.310,.400,.710,0,7,1,9,245,49,12,174,167,1.04,2651,683
13,14,Philadelphia Phillies,NL,-,610,63,149,21,4,8,55,44,128,24,4,.244,.295,.331,.626,1,2,2,6,202,33,16,200,157,1.27,2531,664
14,15,Chicago Cubs,NL,-,596,88,138,26,6,19,84,86,168,14,7,.232,.336,.391,.727,2,12,0,8,233,51,9,167,140,1.19,2860,702
