,Home Team,Away Team,Date,Stadium Name,City,State
0,CLE,HOU,2016-09-05,Progressive Field,Cleveland,OH
1,CLE,HOU,2016-09-06,Progressive Field,Cleveland,OH
2,CLE,HOU,2016-09-07,Progressive Field,Cleveland,OH
3,CLE,HOU,2016-09-08,Progressive Field,Cleveland,OH
4,MIN,HOU,2016-08-08,Target Field,Minneapolis,MN
5,MIN,HOU,2016-08-09,Target Field,Minneapolis,MN
6,MIN,HOU,2016-08-10,Target Field,Minneapolis,MN
7,MIN,HOU,2016-08-11,Target Field,Minneapolis,MN
8,MIN,HOU,2016-08-11,Target Field,Minneapolis,MN
9,TB,HOU,2016-06-10,Tropicana Field,St. Petersburg,FL
10,TB,HOU,2016-06-11,Tropicana Field,St. Petersburg,FL
11,TB,HOU,2016-06-12,Tropicana Field,St. Petersburg,FL
12,MIL,HOU,2016-04-08,Miller Park,Milwaukee,WI
13,MIL,HOU,2016-04-09,Miller Park,Milwaukee,WI
14,MIL,HOU,2016-04-10,Miller Park,Milwaukee,WI
15,TEX,HOU,2016-04-19,Globe Life Park in Arlington,Arlington,TX
16,TEX,HOU,2016-04-20,Globe Life Park in Arlington,Arlington,TX
17,TEX,HOU,2016-04-21,Globe Life Park in Arlington,Arlington,TX
18,TEX,HOU,2016-06-06,Globe Life Park in Arlington,Arlington,TX
19,TEX,HOU,2016-06-07,Globe Life Park in Arlington,Arlington,TX
20,TEX,HOU,2016-06-08,Globe Life Park in Arlington,Arlington,TX
21,TEX,HOU,2016-06-09,Globe Life Park in Arlington,Arlington,TX
22,TEX,HOU,2016-09-02,Globe Life Park in Arlington,Arlington,TX
23,TEX,HOU,2016-09-03,Globe Life Park in Arlington,Arlington,TX
24,TEX,HOU,2016-09-04,Globe Life Park in Arlington,Arlington,TX
25,BAL,HOU,2016-08-18,Oriole Park at Camden Yards,Baltimore,MD
26,BAL,HOU,2016-08-19,Oriole Park at Camden Yards,Baltimore,MD
27,BAL,HOU,2016-08-20,Oriole Park at Camden Yards,Baltimore,MD
28,BAL,HOU,2016-08-21,Oriole Park at Camden Yards,Baltimore,MD
29,OAK,HOU,2016-04-29,O.co Coliseum,Oakland,CA
30,OAK,HOU,2016-04-30,O.co Coliseum,Oakland,CA
31,OAK,HOU,2016-05-01,O.co Coliseum,Oakland,CA
